ID ID_BURGDORF NAME LOCATION PROXY LON LAT SEAS VARIABLE UNIT PERIOD_START PERIOD_END N REF_PERIOD_START REF_PERIOD_END REFDATA MODEL CORREL PVAL
338 526 Ice_phenology_Ulyanovsk_Volga_River_freeze-up Ulyanovsk Volga_River 48.41667 54.31667 earlywinter freeze_up_date DOY 1832 1878 47 1832 1878 BEST AugSep 0.4490656 0.007049117
339 531 Ice_phenology_Volgograd_Volga_River_break-up Volgograd Volga_River 44.51667 48.7 latespring break_up_date DOY 1836 1879 30 1836 1879 BEST DecJanFebMar 0.7104479 0.001120281
340 530 Ice_phenology_Volgograd_Volga_River_freeze-up Volgograd Volga_River 44.51667 48.7 earlywinter freeze_up_date DOY 1836 1879 28 NA NA NA none NA NA
341 521 Ice_phenology_Yuryevets_Volga_River_break-up Yuryevets Volga_River 43.11667 57.31667 latespring break_up_date DOY 1821 1878 28 1821 1878 BEST NovMarApr 0.8119821 8.16e-06
342 520 Ice_phenology_Yuryevets_Volga_River_freeze-up Yuryevets Volga_River 43.11667 57.31667 earlywinter freeze_up_date DOY 1819 1878 27 NA NA NA none NA NA
345 545 Ice_phenology_Kirov_Vyatka_River_break-up Kirov Vyatka_River 49.7 58.6 latespring break_up_date DOY 1800 1878 75 1801 1878 BEST MarAprMay 0.6914091 6.2e-10
346 544 Ice_phenology_Kirov_Vyatka_River_freeze-up Kirov Vyatka_River 49.7 58.6 earlywinter freeze_up_date DOY 1800 1878 73 NA NA NA none NA NA
349 543 Ice_phenology_Slobodskoy_Vyatka_River_break-up_2 Slobodskoy Vyatka_River 50.2 58.73333 latespring break_up_date DOY 1858 1870 9 NA NA NA none NA NA
350 542 Ice_phenology_Slobodskoy_Vyatka_River_freeze-up_2 Slobodskoy Vyatka_River 50.2 58.73333 earlywinter freeze_up_date DOY 1859 1869 6 NA NA NA none NA NA
353 539 Ice_phenology_Solvychegdosk_Vychegda_River_break-up_2 Solvychegdosk Vychegda_River 46.91667 61.33333 latespring break_up_date DOY 1862 1878 17 NA NA NA none NA NA
354 538 Ice_phenology_Solvychegdosk_Vychegda_River_freeze-up_2 Solvychegdosk Vychegda_River 46.91667 61.33333 earlywinter freeze_up_date DOY 1862 1877 16 NA NA NA none NA NA
355 537 Ice_phenology_Vytegra_Vytegra_River_break-up Vytegra Vytegra_River 36.45 61 latespring break_up_date DOY 1836 1879 43 1836 1879 BEST Apr 0.6997753 0.000202
356 536 Ice_phenology_Vytegra_Vytegra_River_freeze-up Vytegra Vytegra_River 36.45 61 earlywinter freeze_up_date DOY 1836 1879 42 NA NA NA none NA NA
357 553 Ice_phenology_Krasnojarsk_Yenisey_River_break-up Krasnojarsk Yenisey_River 92.8667 56.01667 latespring break_up_date DOY 1779 1907 120 1821 1907 BEST MarAprMay 0.683139 3.81e-10
358 552 Ice_phenology_Krasnojarsk_Yenisey_River_freeze-up Krasnojarsk Yenisey_River 92.8667 56.01667 earlywinter freeze_up_date DOY 1779 1907 118 1822 1907 BEST Aug 0.181027 0.118
361 559 Ice_phenology_Tobolsk_Irtysh_River_break-up Tobolsk Irtysh_River 68.2333 58.2 latespring break_up_date DOY 1812 1902 83 1814 1902 BEST DecMarAprMay 0.6398323 3.38e-08
362 558 Ice_phenology_Tobolsk_Irtysh_River_freeze-up Tobolsk Irtysh_River 68.2333 58.2 earlywinter freeze_up_date DOY 1812 1902 83 NA NA NA none NA NA
401 408 Hydroclimate_Ebro_Valley_Index_drought Ebro_Valley Index -1.96 42.3 Annual Drought_Index index 1650 1899 250 NA NA NA none NA NA
402 409 Hydroclimate_NE_Spain_Mediterranean_Index_drought NE_Spain_Mediterranean Index 0.52 40.81 Annual Drought_Index index 1650 1899 250 NA NA NA none NA NA
403 407 Hydroclimate_NE_Spain_Mountain_Index_drought NE_Spain_Mountain Index 0.12 42.03 Annual Drought_Index index 1650 1899 250 NA NA NA none NA NA
404 323 Hydroclimate_Czech_Lands_Precip_index_Annual Czech_Lands Precip_index 15.45 49.75 Annual Precipitation_Index index 1502 1854 353 NA NA NA none NA NA
405 216 Hydroclimate_Eastern_NSW_Precip_index_Austral_Winter Eastern_NSW Precip_index 150.6 -33.5 Annual Precipitation_Index index 1788 2008 221 1892 1950 GPCC JanFebMarAprMayJunJulAugSepOctNovDec 0.6390426 5.13e-08
406 360 Hydroclimate_South_Portugal_Precip_index_JAN South_Portugal Precip_index -8.5 38.65 Winter Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
407 360 Hydroclimate_South_Portugal_Precip_index_FEB South_Portugal Precip_index -8.5 38.65 Winter Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
408 360 Hydroclimate_South_Portugal_Precip_index_MAR South_Portugal Precip_index -8.5 38.65 Spring Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
409 360 Hydroclimate_South_Portugal_Precip_index_APR South_Portugal Precip_index -8.5 38.65 Spring Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
410 360 Hydroclimate_South_Portugal_Precip_index_MAY South_Portugal Precip_index -8.5 38.65 Spring Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
411 360 Hydroclimate_South_Portugal_Precip_index_JUN South_Portugal Precip_index -8.5 38.65 Summer Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
412 360 Hydroclimate_South_Portugal_Precip_index_JUL South_Portugal Precip_index -8.5 38.65 Summer Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
413 360 Hydroclimate_South_Portugal_Precip_index_AUG South_Portugal Precip_index -8.5 38.65 Summer Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
414 360 Hydroclimate_South_Portugal_Precip_index_SEP South_Portugal Precip_index -8.5 38.65 Fall Precipitation_Index index 1675 1716 41 NA NA NA none NA NA
415 360 Hydroclimate_South_Portugal_Precip_index_OCT South_Portugal Precip_index -8.5 38.65 Fall Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
416 360 Hydroclimate_South_Portugal_Precip_index_NOV South_Portugal Precip_index -8.5 38.65 Fall Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
417 360 Hydroclimate_South_Portugal_Precip_index_DEC South_Portugal Precip_index -8.5 38.65 Winter Precipitation_Index index 1675 1716 42 NA NA NA none NA NA
418 42 Reconstruction_Shijiazhuang_Precip_summer Shijiazhuang Precip 114.56 38.14 Summer Precipitation_Reconstruction mm/season 1736 1910 159 NA NA NA none NA NA
419 41 Reconstruction_Shijiazhuang_Precip_winter Shijiazhuang Precip 114.56 38.14 Winter Precipitation_Reconstruction mm/season 1736 1910 166 NA NA NA none NA NA
501 418 Plant_phenology_Klosterneuburg_Grape_Harvest_Date Klosterneuburg Grape 16.33333 48.3 summer Grape_Harvest_Date DOY 1668 1879 148 1851 1879 HadCRUT5 May 0.4167842 0.0306
502 421 Plant_phenology_Klosterneuburg_Grape_flowering Klosterneuburg Grape 16.33333 48.3 spring Flowering_Date DOY 1732 1878 122 1851 1878 HadCRUT5 AprMay 0.8799358 8.31e-09
503 331 Reconstruction_Koszeg_Temp_Summer Koszeg Temp 16.55 47.38 summer Temperature_reconstruction degC 1618 1874 243 1851 1874 HadCRUT5 MayJunJul 0.5787231 0.00305
504 250 Reconstruction_Low_Countries_Temp_DJF Low_Countries Temp 4.4 51.2602 winter Temperature_reconstruction degC 1400 2000 591 1851 1900 HadCRUT5 DecJanFeb 0.9155861 1.27e-20
